308.780, 129.490, 4.325,  4.379 False
308.635, 129.490, 4.356,  4.412 False
308.489, 129.490, 4.388,  4.445 False
308.342, 129.490, 4.420,  4.478 False
308.194, 129.490, 4.451,  4.511 False
308.045, 129.490, 4.483,  4.544 False
307.895, 129.490, 4.514,  4.577 False
307.744, 129.489, 4.545,  4.610 False
307.591, 129.489, 4.575,  4.643 False
307.438, 129.489, 4.606,  4.676 False
307.284, 129.489, 4.637,  4.709 False
307.128, 129.492, 4.665,  4.742 False
306.972, 129.496, 4.694,  4.775 False
306.815, 129.501, 4.726,  4.808 False
306.657, 129.507, 4.759,  4.841 False
306.497, 129.513, 4.791,  4.874 False
306.337, 129.520, 4.823,  4.907 False
306.175, 129.527, 4.855,  4.940 False
306.013, 129.535, 4.886,  4.973 False
305.850, 129.544, 4.916,  5.006 False
305.685, 129.554, 4.948,  5.039 False
305.520, 129.564, 4.978,  5.072 False
305.353, 129.575, 5.010,  5.105 False
305.186, 129.587, 5.041,  5.138 False
305.017, 129.599, 5.072,  5.171 False
304.848, 129.611, 5.105,  5.204 False
304.677, 129.622, 5.135,  5.237 False
304.506, 129.635, 5.161,  5.270 False
304.334, 129.648, 5.177,  5.303 False
304.162, 129.661, 5.185,  5.336 False
303.990, 129.675, 5.184,  5.369 False
303.818, 129.689, 5.185,  5.402 False
303.646, 129.704, 5.194,  5.435 False
303.473, 129.719, 5.214,  5.468 False
303.299, 129.734, 5.240,  5.501 False
303.124, 129.751, 5.272,  5.534 False
302.948, 129.767, 5.308,  5.567 False
302.771, 129.785, 5.347,  5.600 False
302.593, 129.803, 5.388,  5.633 False
302.413, 129.821, 5.430,  5.666 False
302.231, 129.838, 5.473,  5.699 False
302.049, 129.856, 5.514,  5.732 False
301.865, 129.874, 5.555,  5.765 False
301.679, 129.893, 5.595,  5.798 False
301.493, 129.913, 5.634,  5.831 False
301.305, 129.933, 5.673,  5.864 False
301.116, 129.953, 5.711,  5.897 False
300.926, 129.974, 5.749,  5.930 False
300.734, 129.994, 5.786,  5.963 False
300.542, 130.016, 5.823,  5.996 False
300.348, 130.037, 5.858,  6.029 False
300.153, 130.059, 5.894,  6.062 False
299.957, 130.081, 5.929,  6.095 False
299.759, 130.102, 5.964,  6.128 False
299.561, 130.124, 5.998,  6.161 False
299.362, 130.146, 6.032,  6.194 False
299.161, 130.169, 6.066,  6.227 False
298.959, 130.191, 6.100,  6.260 False
298.756, 130.215, 6.133,  6.293 False
298.552, 130.239, 6.166,  6.326 False
298.347, 130.263, 6.199,  6.359 False
298.141, 130.287, 6.232,  6.392 False
297.934, 130.311, 6.264,  6.425 False
297.726, 130.334, 6.296,  6.458 False
297.517, 130.358, 6.328,  6.491 False
297.306, 130.381, 6.360,  6.524 False
297.095, 130.404, 6.392,  6.557 False
296.882, 130.428, 6.424,  6.590 False
296.669, 130.451, 6.455,  6.623 False
296.454, 130.474, 6.487,  6.656 False
296.238, 130.497, 6.519,  6.689 False
296.021, 130.520, 6.550,  6.722 False
295.803, 130.543, 6.581,  6.755 False
